title,date,visitors,visitors_with_passes
title,2025-06-08,151565,19040
title,2025-06-09,137452,17886
title,2025-06-10,110260,18217
title,2025-06-11,126489,18144
title,2025-06-12,141488,18683
title,2025-06-13,167424,18567
title,2025-06-14,153590,18119
title,2025-06-01,152473,18970
title,2025-06-02,150131,17780
title,2025-06-03,108130,17423
title,2025-06-04,137675,17965
title,2025-06-05,139576,18046
title,2025-06-06,165243,19094
title,2025-06-07,173305,17808
title,2025-05-25,143752,16746
title,2025-05-26,149197,18174
title,2025-05-27,139790,18875
title,2025-05-28,149383,18852
title,2025-05-29,145291,18578
title,2025-05-30,152666,18599
title,2025-05-31,187762,17839
title,2025-05-18,121927,16404
title,2025-05-19,133661,17441
title,2025-05-20,129506,17856
title,2025-05-21,133581,19012
title,2025-05-22,137767,18026
title,2025-05-23,163509,18264
title,2025-05-24,132105,16373
title,2025-05-11,121667,18268
title,2025-05-12,117658,17856
title,2025-05-13,123640,18087
title,2025-05-14,129527,17668
title,2025-05-15,129456,17762
title,2025-05-16,132817,17700
title,2025-05-17,123974,16464
title,2025-05-04,136805,16289
title,2025-05-05,126371,16804
title,2025-05-06,76517,16935
title,2025-05-07,91688,16932
title,2025-05-08,105449,18578
title,2025-05-09,105782,19813
title,2025-05-10,128918,21373
title,2025-04-27,102015,16985
title,2025-04-28,121282,17465
title,2025-04-29,97559,17813
title,2025-04-30,101397,17621
title,2025-05-01,105945,17548
title,2025-05-02,104805,17741
title,2025-05-03,120696,17886
title,2025-04-20,95524,16142
title,2025-04-21,99638,17352
title,2025-04-22,103729,17099
title,2025-04-23,99140,17795
title,2025-04-24,108888,17376
title,2025-04-25,110759,17591
title,2025-04-26,122102,17299
title,2025-04-13,146426,22087
title,2025-04-14,70488,16828
title,2025-04-15,63719,15938
title,2025-04-16,73869,15166
title,2025-04-17,82692,15040
title,2025-04-18,93908,15187
title,2025-04-19,108773,14692